Date,Artist,Single,Months at number one
January,Ink Spots,"""Ev'ry Night About This Time""",1 month
February,Vera Lynn & Joe Loss,"""You'll Never Know""",3 months
March,,,
April,,,
May,Frank Sinatra; George Trevare,"""Sunday, Monday or Always""",2 months
June,,,
July,Ink Spots,"""Whispering Grass (Don't Tell the Trees)""",1 month
August,Dinah Shore; Glenn Miller,"""Happy In Love""",1 month
September,Bing Crosby & The Andrews Sisters,"""Vict'ry Polka""",1 month
October,Bing Crosby & The Andrews Sisters,"""Pistol Packin' Mama""",1 month
November,Joe Loss; Vera Lynn,"""No Other Love""",1 month
December,Ink Spots; Frank Sinatra,"""A Lovely Way to Spend An Evening""",1 month
