Week beginning,Artist,Single,Weeks at number one
1/1/2012,Dick Haymes & The Andrews Sisters,"""Teresa""",1 week
1/8/2012,Dinah Shore; Gene Autry,"""Buttons and Bows""",13 weeks
1/15/2012,,,
1/22/2012,,,
1/29/2012,,,
2/5/2012,,,
2/12/2012,,,
2/19/2012,,,
2/26/2012,,,
3/5/2012,,,
3/12/2012,,,
3/19/2012,,,
3/26/2012,,,
4/2/2012,,,
4/9/2012,Perry Como; Tony Pastor,"""Rambling Rose""",5 weeks
4/16/2012,,,
4/23/2012,,,
4/30/2012,,,
5/7/2012,,,
5/14/2012,Danny Kaye & The Andrews Sisters; Ray McKinley,"""Put 'em in a Box, Tie 'em with a Ribbon""",2 weeks
5/21/2012,,,
5/28/2012,Kay Kyser,"""(I'd Like to Get You on a) Slow Boat to China""",6 weeks
6/4/2012,,,
6/11/2012,,,
6/18/2012,,,
6/25/2012,,,
7/2/2012,,,
7/9/2012,Patty Andrews & Bob Crosby,"""The Pussy Cat Song (Nyow! Nyot Nyow!)""",4 weeks
7/16/2012,,,
7/23/2012,,,
7/30/2012,,,
8/6/2012,Ink Spots; Joe Loss,"""Say Something Sweet to Your Sweetheart""",2 weeks
8/13/2012,,,
8/20/2012,Bing Crosby; Joe Loss,"""Far Away Places""",5 weeks
8/27/2012,,,
9/3/2012,,,
9/10/2012,,,
9/17/2012,,,
9/24/2012,Evelyn Knight; Sammy Kaye,"""Powder Your Face with Sunshine""",2 weeks
10/1/2012,,,
10/8/2012,Buddy Clark; Larry Green,"""It's a Big, Wide, Wonderful World""",4 weeks
10/15/2012,,,
10/22/2012,,,
10/29/2012,,,
11/5/2012,Vaughn Monroe; Bing Crosby,"""Riders in the Sky""",5 weeks
11/12/2012,,,
11/19/2012,,,
11/26/2012,,,
12/3/2012,,,
12/10/2012,Evelyn Knight; Joe Loss,"""A Little Bird Told Me""",2 weeks
12/17/2012,,,
12/24/2012,Burl Ives; Dinah Shore,"""Lavender Blue (Dilly Dilly)""",6 weeks (4 weeks in 1950)
12/31/2012,,,
