Date,Artist,Single,Weeks at number one
1/6/1975,Daryl Braithwaite,"""You're My World""",3 weeks
1/13/1975,Daryl Braithwaite,"""You're My World""",3 weeks
1/20/1975,Daryl Braithwaite,"""You're My World""",3 weeks
1/27/1975,Billy Swan,"""I Can Help""",1 week
2/3/1975,William Shakespeare,"""My Little Angel""",3 weeks
2/10/1975,William Shakespeare,"""My Little Angel""",3 weeks
2/17/1975,William Shakespeare,"""My Little Angel""",3 weeks
2/24/1975,The Carpenters,"""Please Mr. Postman""",5 weeks
3/3/1975,The Carpenters,"""Please Mr. Postman""",5 weeks
3/10/1975,The Carpenters,"""Please Mr. Postman""",5 weeks
3/17/1975,The Carpenters,"""Please Mr. Postman""",5 weeks
3/24/1975,The Carpenters,"""Please Mr. Postman""",5 weeks
3/31/1975,Skyhooks,"""Horror Movie""",2 weeks
4/7/1975,Skyhooks,"""Horror Movie""",2 weeks
4/14/1975,Bob Hudson,"""The Newcastle Song""",4 weeks
4/21/1975,Bob Hudson,"""The Newcastle Song""",4 weeks
4/28/1975,Bob Hudson,"""The Newcastle Song""",4 weeks
5/5/1975,Bob Hudson,"""The Newcastle Song""",4 weeks
5/12/1975,Sherbet,"""Summer Love""",2 weeks
5/19/1975,Sherbet,"""Summer Love""",2 weeks
5/26/1975,Pilot,"""January""",8 weeks
6/2/1975,Pilot,"""January""",8 weeks
6/9/1975,Pilot,"""January""",8 weeks
6/16/1975,Pilot,"""January""",8 weeks
6/23/1975,Pilot,"""January""",8 weeks
6/30/1975,Pilot,"""January""",8 weeks
7/7/1975,Pilot,"""January""",8 weeks
7/14/1975,Pilot,"""January""",8 weeks
7/21/1975,Freddy Fender,"""Before the Next Teardrop Falls""",1 week
7/28/1975,Bay City Rollers,"""Bye Bye Baby""",1 week
8/4/1975,Sweet,"""Fox on the Run""",6 weeks
8/11/1975,Sweet,"""Fox on the Run""",6 weeks
8/18/1975,Sweet,"""Fox on the Run""",6 weeks
8/25/1975,Sweet,"""Fox on the Run""",6 weeks
9/1/1975,Sweet,"""Fox on the Run""",6 weeks
9/8/1975,Sweet,"""Fox on the Run""",6 weeks
9/15/1975,Captain & Tennille,"""Love Will Keep Us Together""",4 weeks
9/22/1975,Captain & Tennille,"""Love Will Keep Us Together""",4 weeks
9/29/1975,Captain & Tennille,"""Love Will Keep Us Together""",4 weeks
10/6/1975,Captain & Tennille,"""Love Will Keep Us Together""",4 weeks
10/13/1975,ABBA,"""I Do, I Do, I Do, I Do, I Do""",3 weeks
10/20/1975,ABBA,"""I Do, I Do, I Do, I Do, I Do""",3 weeks
10/27/1975,ABBA,"""I Do, I Do, I Do, I Do, I Do""",3 weeks
11/3/1975,ABBA,"""Mamma Mia""",10 weeks
11/10/1975,ABBA,"""Mamma Mia""",10 weeks
11/17/1975,ABBA,"""Mamma Mia""",10 weeks
11/24/1975,ABBA,"""Mamma Mia""",10 weeks
12/1/1975,ABBA,"""Mamma Mia""",10 weeks
12/8/1975,ABBA,"""Mamma Mia""",10 weeks
12/15/1975,ABBA,"""Mamma Mia""",10 weeks
12/22/1975,ABBA,"""Mamma Mia""",10 weeks
12/29/1975,ABBA,"""Mamma Mia""",10 weeks
