*Week beginning*,*Song*,*Artist*
1/2/2000,Blue (Da Ba Dee),Eiffel 65
1/9/2000,I Try,Macy Gray
1/16/2000,I Try,Macy Gray
1/23/2000,Mascara/Leave Me Alone,Killing Heidi
1/30/2000,Mascara/Leave Me Alone,Killing Heidi
2/6/2000,Mascara/Leave Me Alone,Killing Heidi
2/13/2000,I Try,Macy Gray
2/20/2000,Bloke,Chris Franklin
2/27/2000,Bloke,Chris Franklin
3/5/2000,American Pie,Madonna
3/12/2000,Bye Bye Bye,*NSYNC
3/19/2000,Bye Bye Bye,*NSYNC
3/26/2000,Bye Bye Bye,*NSYNC
4/2/2000,Bye Bye Bye,*NSYNC
4/9/2000,Bye Bye Bye,*NSYNC
4/16/2000,Poison,Bardot
4/23/2000,Poison,Bardot
4/30/2000,Say My Name,Destiny's Child
5/7/2000,Say My Name,Destiny's Child
5/14/2000,Say My Name,Destiny's Child
5/21/2000,Say My Name,Destiny's Child
5/28/2000,Oops!... I Did It Again,Britney Spears
6/4/2000,Oops!... I Did It Again,Britney Spears
6/11/2000,Who the Hell Are You,Madison Avenue
6/18/2000,Who the Hell Are You,Madison Avenue
6/25/2000,Spinning Around,Kylie Minogue
7/2/2000,Freestyler,Bomfunk MC's
7/9/2000,Freestyler,Bomfunk MC's
7/16/2000,Freestyler,Bomfunk MC's
7/23/2000,I'm Outta Love,Anastacia
7/30/2000,I'm Outta Love,Anastacia
8/7/2000,I'm Outta Love,Anastacia
8/14/2000,I'm Outta Love,Anastacia
8/21/2000,I'm Outta Love,Anastacia
8/28/2000,Music,Madonna
9/3/2000,Music,Madonna
9/10/2000,Music,Madonna
9/17/2000,On a Night Like This,Kylie Minogue
9/24/2000,Music,Madonna
10/1/2000,Most Girls,Pink
10/8/2000,On a Night Like This,Kylie Minogue
10/15/2000,Beautiful Day,U2
10/22/2000,Groovejet (If This Ain't Love),Spiller
10/29/2000,Groovejet (If This Ain't Love),Spiller
11/5/2000,Groovejet (If This Ain't Love),Spiller
11/12/2000,Teenage Dirtbag,Wheatus
11/19/2000,Who Let the Dogs Out?,Baha Men
11/26/2000,Who Let the Dogs Out?,Baha Men
12/3/2000,Who Let the Dogs Out?,Baha Men
12/10/2000,Who Let the Dogs Out?,Baha Men
12/17/2000,Teenage Dirtbag,Wheatus
12/24/2000,Teenage Dirtbag,Wheatus
12/31/2000,Teenage Dirtbag,Wheatus
