Week beginning,Song,Artist
1/4/2004,Shut Up,The Black Eyed Peas
1/11/2004,,
1/18/2004,Hey Ya!,OutKast
1/25/2004,,
2/1/2004,What About Me,Shannon Noll
2/8/2004,,
2/15/2004,,
2/22/2004,,
2/29/2004,All I Need Is You,Guy Sebastian
3/7/2004,Superstar,Jamelia
3/14/2004,Toxic,Britney Spears
3/21/2004,,
3/28/2004,Yeah!,Usher
4/4/2004,Fuck It (I Don't Want You Back),Eamon
4/11/2004,,
4/18/2004,,
4/25/2004,,
5/2/2004,My Band,D12
5/9/2004,Left Outside Alone,Anastacia
5/16/2004,My Band,D12
5/23/2004,Black Betty,Spiderbait
5/30/2004,,
6/6/2004,,
6/13/2004,F.U.R.B. (Fuck You Right Back),Frankee
6/20/2004,,
6/27/2004,Everytime,Britney Spears
7/4/2004,F.U.R.B. (Fuck You Right Back),Frankee
7/11/2004,Learn to Fly,Shannon Noll
7/18/2004,Angel Eyes,Paulini
7/25/2004,,
8/1/2004,,
8/8/2004,Scar,Missy Higgins
8/15/2004,When the War Is Over,Cosima
8/22/2004,,
8/29/2004,My Place/Flap Your Wings,Nelly
9/5/2004,She Will Be Loved,Maroon 5
9/12/2004,,
9/19/2004,,
9/26/2004,,
10/3/2004,Out with My Baby,Guy Sebastian
10/10/2004,She Will Be Loved,Maroon 5
10/17/2004,Out of the Blue,Delta Goodrem
10/24/2004,,
10/31/2004,,
11/7/2004,Just Lose It,Eminem
11/14/2004,What You Waiting For?,Gwen Stefani
11/21/2004,,
11/28/2004,These Kids,Joel Turner and the Modern Day Poets
12/5/2004,Listen with Your Heart,Casey Donovan
12/12/2004,,
12/19/2004,The Prayer,Anthony Callea
12/26/2004,,
