Date,Song,Artist,
January,7,"""Irreplaceable""",Beyoncé
14,,,
21,"""Light Surrounding You""",Evermore,
28,"""Lips of an Angel""",Hinder,
February,4,,
11,,,
18,,,
25,,,
March,4,,
11,,,
18,"""Straight Lines""",Silverchair,
25,,,
April,1,,
8,,,
15,"""Girlfriend""",Avril Lavigne,
22,"""Steer""",Missy Higgins,
29,"""Girlfriend""",Avril Lavigne,
May,6,,
13,,,
20,,,
27,,,
June,3,"""Umbrella""",Rihanna featuring Jay-Z
10,,,
17,,,
24,,,
July,1,,
8,,,
15,"Big Girls Don't Cry""",Fergie,
22,,,
29,,,
August,5,,
12,,,
19,,,
26,,,
September,2,,
9,,,
16,"""Beautiful Girls""",Sean Kingston,
23,"""In This Life""",Delta Goodrem,
30,"""Beautiful Girls""",Sean Kingston,
October,7,,
14,,,
21,,,
28,"""The Way I Are""","Timbaland featuring Keri Hilson, D.O.E. and Sebastian",
November,4,,
11,"""Hook Me Up""",The Veronicas,
18,"""2 Hearts""",Kylie Minogue,
25,"""Apologize""",Timbaland featuring OneRepublic,
December,2,,
9,,,
16,,,
23,,,
30,,,
