Date,Song,Artist,Ref,
January,5,"""Poker Face""",Lady Gaga,[18]
12,,,,
19,"""Burn""",Jessica Mauboy,[19],
26,"""You Found Me""",The Fray,[20],
February,2,,,
9,,,,
16,,,,
23,"""Right Round""",Flo Rida featuring Ke$ha,[17],
March,2,,,
9,,,,
16,,,,
23,"""Love Story""",Taylor Swift,[21],
30,"""Right Round""",Flo Rida featuring Kesha,[17],
April,6,"""Love Story""",Taylor Swift,[21]
13,"""Right Round""",Flo Rida featuring Ke$ha,[17],
20,,,,
27,"""Jai Ho! (You Are My Destiny)""",A. R. Rahman & The Pussycat Dolls featuring Nicole Scherzinger,[22],
May,4,,,
11,"""We Made You""",Eminem,[23],
18,"""Boom Boom Pow""",The Black Eyed Peas,[10],
25,,,,
June,1,,,
8,,,,
15,,,,
22,,,,
29,"""I Gotta Feeling""",[11],,
July,6,,,
13,,,,
20,,,,
27,,,,
August,3,,,
10,,,,
17,"""Sexy Bitch""",David Guetta featuring Akon,[24],
24,,,,
31,,,,
September,7,"""Like It Like That""",Guy Sebastian,[25]
14,,,,
21,"""Sexy Bitch""",David Guetta featuring Akon,[24],
28,,,,
October,5,,,
12,,,,
19,"""This Is Who I Am""",Vanessa Amorosi,[26],
26,,,,
November,2,"""Meet Me Halfway""",The Black Eyed Peas,[12]
9,"""Tik Tok""",Kesha,[16],
16,,,,
23,,,,
30,,,,
December,7,,,
14,,,,
21,,,,
28,,,,
