Date,Song,Artist(s),Reference
1/3/2011,"""Grenade""",Bruno Mars,[15]
1/10/2011,"""Who's That Girl""",Guy Sebastian featuring Eve,[16]
1/17/2011,"""Dirty Talk""",Wynter Gordon,[17]
1/24/2011,,,
1/31/2011,,,
2/7/2011,"""S&M""",Rihanna,[18]
2/14/2011,,,
2/21/2011,"""Born This Way""",Lady Gaga,[19]
2/28/2011,"""S&M""",Rihanna,[18]
3/7/2011,,,
3/14/2011,,,
3/21/2011,"""On the Floor""",Jennifer Lopez featuring Pitbull,[20]
3/28/2011,,,
4/4/2011,,,
4/11/2011,"""Sweat""",Snoop Dogg vs. David Guetta,[21]
4/18/2011,"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock,[22]
4/25/2011,,,
5/2/2011,,,
5/10/2011,,,
5/16/2011,,,
5/23/2011,,,
5/30/2011,,,
6/6/2011,,,
6/13/2011,,,
6/20/2011,,,
6/27/2011,"""Someone Like You""",Adele,[14]
7/4/2011,,,
7/11/2011,,,
7/18/2011,,,
7/25/2011,,,
8/1/2011,,,
8/8/2011,,,
8/15/2011,"""Somebody That I Used to Know""",Gotye featuring Kimbra,[23]
8/22/2011,,,
8/29/2011,,,
9/5/2011,,,
9/12/2011,,,
9/19/2011,,,
9/26/2011,,,
10/3/2011,,,
10/10/2011,"""Mr. Know It All""",Kelly Clarkson,[24]
10/17/2011,"""Sexy and I Know It""",LMFAO,[25]
10/24/2011,,,
10/31/2011,,,
11/7/2011,,,
11/14/2011,,,
11/21/2011,,,
11/28/2011,"""Good Night""",Reece Mastin,[26]
12/5/2011,,,
12/12/2011,"""Sexy and I Know It""",LMFAO,[25]
12/19/2011,"""Good Night""",Reece Mastin,[26]
12/26/2011,,,
